run_accession	experiment_title	collection_date	country	instrument_platform
ERR12384777	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-04	Spain	ILLUMINA
ERR12384780	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-08	Spain	ILLUMINA
ERR12384789	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-07	Spain	ILLUMINA
ERR12384791	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-06	Spain	ILLUMINA
ERR12384801	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-05	Spain	ILLUMINA
ERR12384805	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-02	Spain	ILLUMINA
ERR12384809	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-05	Spain	ILLUMINA
ERR12384812	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-06	Spain	ILLUMINA
ERR12384814	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-06	Spain	ILLUMINA
ERR12384818	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-03	Spain	ILLUMINA
ERR12384820	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-02	Spain	ILLUMINA
ERR12384823	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-04	Spain	ILLUMINA
ERR12384855	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-05	Spain	ILLUMINA
ERR12384857	Illumina iSeq 100 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-05	Spain	ILLUMINA
ERR12384858	Illumina iSeq 100 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-05	Spain	ILLUMINA
ERR12384860	Illumina iSeq 100 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-05	Spain	ILLUMINA
