Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
ERR12384777_1	0.0	0.0	0.0	0.0	0.0	0.00589785	0.000491487	0.0	0.0	0.0	0.0	0.000982975	0.0	0.0	0.000491487	0.0	0.0	0.0	0.000982975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00884677	0.000982975	0.0	0.00540636	0.0	0.0	0.0	0.0	0.0039319	0.0	0.00196595	0.0	0.000982975	0.0	0.0	0.0	0.0	0.0	0.0	0.000491487	0.000982975	0.0	0.0	0.0	0.0	0.000982975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00147446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000982975	0.0	0.0	0.0	0.0	0.0	0.0	0.000491487	0.0	0.0	0.0	0.000491487	0.0	0.0	0.0	0.00540636	0.0	0.0	0.0	0.00196595	0.0	0.0	0.0	0.000982975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00156496	0.0	0.00211649	0.0	0.0	0.005936159999999999	0.0	0.00164423	0.0	0.00836801	0.010137499999999999	0.00113522	0.0051499499999999995	0.0	0.0	0.00233361	0.0017631699999999999	0.00533463	0.0017943100000000001	0.0157061	0.0006095549999999999	0.0043034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033488899999999998	0.00135243	0.0	0.0	0.0	0.0	0.0	0.00286111	0.0	0.0	0.0	0.0	0.0
ERR12384780_1	0.0	0.0	0.0	0.0	0.0	0.0053055	0.0	0.0	0.0	0.0	0.0	0.0019292699999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.000964636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053055	0.0	0.0	0.0038585499999999997	0.0	0.0	0.0	0.0	0.00578782	0.0	0.000482318	0.0	0.0	0.0	0.0	0.000482318	0.0	0.0	0.0	0.0	0.000482318	0.0	0.0	0.0	0.0	0.000964636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000482318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000482318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019292699999999999	0.0	0.000482318	0.0	0.000482318	0.0	0.0	0.0	0.000964636	0.0	0.000487327	0.0	0.0	0.0	0.0	0.0	0.0005102640000000001	0.000513999	0.00103513	0.0	0.0	0.00210662	0.0	0.00160224	0.000538312	0.00597196	0.00657588	0.000552111	0.006120260000000001	0.0	0.0	0.00113392	0.0011415499999999999	0.00115107	0.0011604	0.0111223	0.0	0.00535513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019369599999999997	0.0	0.0	0.0019866	0.0	0.0	0.0	0.00206273	0.0	0.0	0.0	0.0	0.0
ERR12384781_1	0.0	0.0	0.0	0.0	0.0	0.00456784	0.0	0.0	0.0	0.0	0.0	0.0027407	0.0	0.0	0.0009135669999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000456784	0.0	0.0	0.0	0.0	0.0	0.00913567	0.0	0.0	0.00319749	0.0	0.0	0.0	0.000456784	0.008222110000000001	0.0	0.000456784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009135669999999999	0.0	0.0	0.0	0.0	0.000456784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009135669999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000456784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000456784	0.0	0.0	0.000456784	0.0	0.0	0.0	0.00319749	0.0	0.000456784	0.0	0.00137035	0.0	0.0009135669999999999	0.0	0.000456784	0.0	0.000923741	0.0	0.0	0.0	0.0	0.0	0.00145583	0.0	0.00197009	0.0	0.0	0.00452014	0.0	0.0020409300000000003	0.00102942	0.00727284	0.0136436	0.000529151	0.00959933	0.0	0.0	0.0010878300000000001	0.000547957	0.0055301199999999995	0.0011162	0.0157796	0.0	0.00573849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000643791	0.0	0.0	0.0	0.00201298	0.0	0.0	0.0	0.0	0.0
ERR12384783_1	0.0	0.0	0.0	0.0	0.0	0.007308340000000001	0.0006090280000000001	0.0	0.0	0.0	0.0	0.0006090280000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.00121806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00609028	0.0006090280000000001	0.0	0.00609028	0.0	0.0	0.0	0.0006090280000000001	0.006699309999999999	0.0	0.0006090280000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006090280000000001	0.0	0.0	0.0	0.0	0.00182708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006090280000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00304514	0.0	0.0	0.0	0.0	0.0	0.0006090280000000001	0.0	0.0	0.0	0.000615551	0.0	0.0	0.0	0.0	0.000639403	0.0	0.0	0.0	0.0	0.0	0.00400021	0.0	0.00135387	0.0	0.00275535	0.00973534	0.0	0.007062550000000001	0.0	0.0	0.000719854	0.0	0.00292487	0.000737452	0.00968076	0.0	0.00303134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000845344	0.0	0.0	0.0	0.000878202	0.0	0.0	0.0	0.0	0.0
ERR12384784_1	0.0	0.0	0.0	0.0	0.00553532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00110706	0.0	0.00442826	0.0	0.0	0.00442826	0.0	0.0	0.00110706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00110706	0.0	0.0	0.0	0.0	0.0	0.009963580000000001	0.0	0.0	0.0	0.0	0.0	0.00332119	0.0	0.0	0.0	0.0	0.00221413	0.0	0.0	0.0	0.0	0.0	0.00110706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00774945	0.00110706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00332119	0.0	0.0	0.0	0.00221413	0.0	0.00332119	0.00221413	0.00110706	0.0	0.0	0.00332119	0.00442826	0.00110706	0.0	0.00110706	0.0	0.0	0.0011127399999999999	0.0011191200000000001	0.0	0.0	0.0011422	0.0	0.0011609399999999998	0.00117099	0.0	0.00118775	0.00119429	0.0012011	0.00362911	0.0	0.0012277	0.00247473	0.00624103	0.00377896	0.00253888	0.0012791	0.0012870199999999998	0.00388767	0.0039140500000000005	0.00131403	0.0	0.00133708	0.00269884	0.0027226800000000003	0.0	0.00276675	0.0055732	0.00421236	0.0	0.0	0.0014355000000000001	0.0	0.00292428	0.0	0.0	0.00150577	0.0015177	0.0061219199999999994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR12384785_1	0.0	0.0	0.0	0.0	0.0	0.00969509	0.000807924	0.0	0.0	0.0	0.0	0.000807924	0.0	0.0	0.0	0.0	0.0	0.0	0.000807924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032317	0.000807924	0.0	0.0032317	0.000807924	0.0	0.0	0.0032317	0.00484754	0.0	0.00161585	0.0	0.000807924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000807924	0.0	0.0	0.0	0.0	0.00161585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000807924	0.0	0.0	0.000807924	0.0	0.000807924	0.0	0.0	0.0	0.0	0.0	0.0	0.000807924	0.0	0.0	0.0	0.0	0.0	0.0	0.000807924	0.0032317	0.0	0.00161585	0.0	0.000807924	0.0	0.000807924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008575010000000001	0.000864244	0.000870292	0.0	0.0	0.0017742	0.000893264	0.0009008439999999999	0.00181712	0.00642055	0.00555736	0.0	0.004704069999999999	0.0	0.0	0.0	0.0029013299999999997	0.0	0.0	0.011940200000000002	0.0	0.0050656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR12384786_1	0.0	0.0	0.0	0.0	0.00178687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0058073299999999994	0.0	0.000893435	0.0	0.0	0.00938107	0.0	0.0	0.00312702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000446718	0.0	0.0	0.0	0.0	0.0	0.00536061	0.0	0.0	0.0	0.0	0.0	0.00536061	0.0	0.0	0.0	0.0	0.000446718	0.0	0.0	0.0	0.000446718	0.0	0.00357374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000893435	0.0	0.0	0.000446718	0.0	0.0	0.0	0.0	0.00402046	0.0	0.00178687	0.0	0.0	0.0	0.000446718	0.0	0.0	0.0	0.0	0.0049139	0.0	0.0	0.0	0.00446718	0.000446718	0.000446718	0.0058073299999999994	0.000893435	0.00178687	0.0	0.00178687	0.0102745	0.00178687	0.000893435	0.0	0.00312702	0.0	0.00134798	0.000903775	0.00182052	0.0	0.000924958	0.0	0.0023545099999999998	0.00142605	0.000958148	0.0024133	0.0	0.00635436	0.00443282	0.0009920390000000001	0.00100065	0.00100954	0.008153029999999999	0.000514774	0.00259585	0.0068036799999999995	0.000526862	0.0010609500000000002	0.00534045	0.0026911699999999997	0.00108615	0.0043852200000000004	0.00332208	0.00167683	0.0016915600000000002	0.0028442700000000003	0.0143299	0.0051982	0.0	0.0	0.0041455400000000005	0.000597957	0.00120809	0.0	0.000617265	0.00187154	0.000629513	0.008253650000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR12384787_1	0.0	0.0	0.0	0.0	0.000790842	0.0	0.0	0.000395421	0.0	0.0	0.0	0.0	0.0	0.00434963	0.0	0.000395421	0.0	0.0	0.0039542100000000005	0.0	0.0	0.00355879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000790842	0.0	0.0	0.0	0.0	0.0	0.007908420000000001	0.0	0.0	0.0	0.0	0.0	0.00316337	0.0	0.0	0.0	0.0	0.000395421	0.0	0.0	0.0	0.0	0.0	0.00355879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000395421	0.0	0.0	0.0	0.0	0.00593132	0.0	0.000790842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000395421	0.0027679500000000004	0.0	0.0	0.0	0.0039542100000000005	0.0	0.00118626	0.004745050000000001	0.00158168	0.000790842	0.000395421	0.00158168	0.00434963	0.00158168	0.000790842	0.0023725300000000003	0.000790842	0.0	0.0023862600000000003	0.0	0.00120773	0.0	0.00245371	0.0	0.000832466	0.00210174	0.0008472960000000001	0.000853457	0.0	0.00475554	0.00130664	0.0008765660000000001	0.00044220399999999997	0.00267512	0.00585435	0.00409264	0.0036677700000000003	0.00647055	0.0009308599999999999	0.0023431700000000003	0.0033020099999999998	0.0023765799999999997	0.0019177800000000002	0.00435648	0.00195639	0.00296191	0.00249113	0.0005022199999999999	0.007085919999999999	0.0071382699999999995	0.0	0.0	0.0015657099999999999	0.0	0.001065	0.0	0.0	0.0	0.000553379	0.00781699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR12384788_1	0.0	0.0	0.0	0.0	0.0	0.0080983	0.0014724200000000001	0.0	0.0	0.0	0.0	0.0014724200000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.00036810399999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00699399	0.00036810399999999996	0.0	0.0033129400000000003	0.0	0.0	0.0	0.0	0.0033129400000000003	0.0	0.0014724200000000001	0.0	0.00036810399999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036810399999999996	0.0	0.0	0.0	0.0	0.0011043099999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036810399999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036810399999999996	0.0	0.00036810399999999996	0.0	0.00036810399999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.00036810399999999996	0.00036810399999999996	0.0	0.0	0.0	0.0	0.0036810400000000004	0.0	0.000736209	0.0	0.00036810399999999996	0.0	0.000736209	0.00036810399999999996	0.000736209	0.0	0.000371921	0.0	0.0	0.0	0.0	0.0	0.0007794809999999999	0.00078505	0.000395268	0.0	0.0	0.00402734	0.0	0.000817521	0.0	0.0054015899999999995	0.00754821	0.0	0.00298033	0.0	0.0	0.000433898	0.00043700900000000003	0.00352507	0.000444476	0.0152567	0.0	0.00136849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010156800000000001	0.0	0.0	0.0	0.00105436	0.0	0.0	0.0	0.0	0.0
ERR12384789_1	0.0	0.0	0.0	0.0	0.0056174300000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063196	0.0	0.00421307	0.0	0.0	0.0063196	0.0	0.0	0.00491525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014043600000000001	0.0	0.0	0.0	0.0	0.0	0.0105327	0.0	0.0	0.0	0.0	0.0	0.00351089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00491525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007021779999999999	0.0	0.0	0.00210653	0.0	0.0	0.0	0.0	0.00772396	0.0007021779999999999	0.0028087100000000003	0.0	0.0	0.0007021779999999999	0.0007021779999999999	0.0	0.0	0.0	0.0	0.00351089	0.0	0.0	0.0	0.00491525	0.0	0.0014043600000000001	0.0063196	0.0007021779999999999	0.0	0.0	0.00210653	0.00702178	0.0007021779999999999	0.0007021779999999999	0.0007021779999999999	0.0014043600000000001	0.0	0.000705667	0.00141832	0.0014273299999999999	0.0	0.000723683	0.0	0.000735565	0.0029676900000000003	0.000747256	0.0	0.0	0.00608615	0.0015318399999999998	0.0	0.0007770730000000001	0.000783153	0.00553089	0.00239139	0.0008035680000000001	0.006478049999999999	0.00162955	0.00410092	0.0033006599999999995	0.00332425	0.0	0.005070519999999999	0.00170571	0.000859956	0.0008671600000000001	0.00174825	0.00968259	0.005320559999999999	0.0	0.0	0.000906323	0.0	0.0	0.000932705	0.000941451	0.000950724	0.0	0.00676048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
