Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
ERR12384777_1	33.351	36.5301	36.5482	36.6607	36.421	36.621	36.6503	36.6066	36.7459	36.669	36.7389	36.6647	36.7035	36.6677	36.6231	36.6237	36.648	36.6648	36.6494	36.6675	36.6461	36.62	36.6514	36.6491	36.6453	36.6433	36.5912	36.6147	36.6404	36.6208	36.6329	36.6144	36.6148	36.5984	36.6135	36.5995	36.5942	36.6148	36.5749	36.5948	36.5912	36.6015	36.5958	36.5875	36.5866	36.6015	36.5831	36.5957	36.5918	36.5884	36.5821	36.5736	36.585	36.5529	36.5687	36.5659	36.5477	36.5846	36.562	36.5511	36.5537	36.5557	36.5492	36.5537	36.522	36.5473	36.5347	36.5407	36.5292	36.5427	36.5332	36.5051	36.5072	36.5191	36.5361	36.5102	36.4948	36.5153	36.4994	36.5047	36.4741	36.4979	36.498	36.4764	36.4984	36.4839	36.4663	36.4681	36.469	36.4632	36.4606	36.4575	36.4645	36.4544	36.4501	36.4527	36.4622	36.4693	36.4592	36.4502	36.431	36.4233	36.4252	36.3957	36.3692	36.3659	36.3476	36.3322	36.3589	36.3598	36.3397	36.3403	36.3209	36.2959	36.2794	36.3134	36.284	36.303	36.2745	36.2858	36.2926	36.2439	36.2537	36.2477	36.2039	36.218	36.229	36.1994	36.2075	36.2166	36.1473	36.2033	36.2111	36.1903	36.1852	36.1791	36.1314	36.1614	36.1369	36.157	36.1396	36.1241	36.1023	36.0612	36.0535	36.0522	36.0862	36.2857	36.2703	36.2322	33.4671
ERR12384780_1	33.309	36.5587	36.5686	36.6698	36.4355	36.6442	36.6641	36.6266	36.7563	36.6854	36.7446	36.6794	36.7206	36.6832	36.6322	36.6378	36.6582	36.6706	36.6579	36.6868	36.6476	36.6217	36.6624	36.6586	36.656	36.6495	36.6094	36.6445	36.6414	36.6308	36.6298	36.6285	36.6217	36.6088	36.6296	36.6168	36.6165	36.6192	36.5824	36.6193	36.6124	36.6327	36.6016	36.5979	36.6039	36.6121	36.5812	36.6056	36.6036	36.6205	36.6093	36.5943	36.6038	36.5783	36.5934	36.59	36.5559	36.6023	36.5816	36.5731	36.5803	36.5723	36.555	36.5617	36.5418	36.5575	36.5553	36.5546	36.5576	36.5452	36.5511	36.5356	36.5115	36.5359	36.5574	36.5429	36.503	36.5213	36.5194	36.5263	36.5113	36.5025	36.5039	36.5027	36.5166	36.5148	36.4917	36.515	36.5061	36.4786	36.4762	36.4573	36.5088	36.4734	36.4909	36.4702	36.4955	36.4819	36.4746	36.4766	36.4608	36.4384	36.4351	36.4102	36.4274	36.4002	36.3791	36.3639	36.3958	36.3917	36.3864	36.3622	36.3554	36.3332	36.3117	36.3489	36.2996	36.3196	36.3146	36.2975	36.3112	36.2817	36.2781	36.2738	36.2272	36.2473	36.2743	36.2451	36.2379	36.2617	36.1954	36.2538	36.2305	36.2301	36.2247	36.1988	36.1798	36.2049	36.1749	36.184	36.1543	36.1425	36.1266	36.0983	36.0893	36.1073	36.1015	36.3089	36.2906	36.2579	33.5053
ERR12384781_1	33.538	36.5981	36.5995	36.7124	36.4909	36.6798	36.7021	36.6661	36.7927	36.7169	36.7771	36.7215	36.753	36.713	36.6729	36.6901	36.7035	36.7051	36.6905	36.7179	36.6938	36.6771	36.6909	36.7003	36.7053	36.6864	36.6506	36.6824	36.6847	36.6713	36.6668	36.6708	36.6672	36.6535	36.6648	36.6617	36.6532	36.6637	36.6262	36.6527	36.6465	36.6526	36.642	36.6481	36.6408	36.6547	36.6335	36.6379	36.6357	36.6397	36.6332	36.6377	36.6494	36.6123	36.6289	36.619	36.6075	36.6446	36.6254	36.6084	36.6124	36.6207	36.6031	36.6188	36.5928	36.5969	36.5855	36.6088	36.5919	36.5975	36.586	36.5664	36.5659	36.5733	36.5916	36.5841	36.5563	36.5698	36.5583	36.5608	36.5526	36.5674	36.5477	36.5476	36.5542	36.5541	36.5426	36.5486	36.5442	36.5352	36.5413	36.5227	36.5428	36.5114	36.5259	36.5173	36.5332	36.5352	36.5236	36.5194	36.5102	36.4964	36.5065	36.4793	36.4753	36.4433	36.446	36.4208	36.4352	36.426	36.4153	36.4086	36.4019	36.3808	36.3685	36.3941	36.3694	36.3597	36.3619	36.3793	36.3868	36.3417	36.3372	36.3209	36.3088	36.3196	36.3185	36.3009	36.2904	36.2977	36.2482	36.2823	36.2921	36.26	36.2644	36.2508	36.231	36.2386	36.2215	36.2371	36.2292	36.1848	36.1832	36.1504	36.1335	36.1424	36.1531	36.3465	36.3251	36.2909	33.4902
ERR12384783_1	33.3834	36.586	36.5879	36.675	36.4609	36.6447	36.6653	36.6334	36.7629	36.6828	36.7587	36.6808	36.7323	36.6787	36.6383	36.651	36.6627	36.6718	36.6597	36.6673	36.6609	36.625	36.6744	36.6606	36.6512	36.6639	36.6019	36.649	36.6506	36.6228	36.6385	36.618	36.6265	36.6167	36.6292	36.6162	36.6109	36.6342	36.5931	36.619	36.6164	36.6278	36.6152	36.6113	36.6018	36.6254	36.5885	36.601	36.6117	36.6103	36.6017	36.5933	36.6172	36.5736	36.5892	36.5872	36.5631	36.6016	36.5784	36.5707	36.5781	36.5729	36.5688	36.5672	36.5298	36.5598	36.5487	36.565	36.5475	36.5509	36.5419	36.5154	36.5275	36.5285	36.5349	36.5404	36.5058	36.5137	36.5082	36.5165	36.5203	36.4895	36.5058	36.5107	36.5225	36.5233	36.4868	36.4835	36.4864	36.4857	36.4773	36.4824	36.4891	36.4672	36.4763	36.4584	36.5054	36.4837	36.4857	36.4579	36.471	36.4368	36.4511	36.4193	36.4059	36.3911	36.3699	36.3652	36.4127	36.4029	36.3788	36.3536	36.3433	36.3374	36.3145	36.3554	36.3087	36.3246	36.2907	36.3049	36.3241	36.2831	36.2741	36.2644	36.2317	36.2365	36.2534	36.2539	36.2352	36.2576	36.1657	36.2327	36.2337	36.206	36.2013	36.1803	36.1753	36.1859	36.1697	36.1732	36.15	36.1199	36.1362	36.0881	36.0581	36.07	36.0939	36.2933	36.2886	36.2531	33.4581
ERR12384784_1	33.3576	35.8322	36.551	36.6758	36.4582	36.5848	36.6376	36.5822	36.7443	36.629	36.7193	36.6565	36.7268	36.6782	36.6185	36.6474	36.664	36.6627	36.6607	36.6808	36.6676	36.637	36.648	36.6643	36.657	36.6579	36.6126	36.6396	36.6256	36.621	36.6208	36.628	36.6397	36.6053	36.636	36.5991	36.6256	36.6229	36.5654	36.603	36.6044	36.5747	36.6	36.5891	36.5632	36.5828	36.5868	36.5936	36.5929	36.5707	36.5826	36.5713	36.5945	36.5808	36.5531	36.5588	36.5372	36.5993	36.5763	36.5592	36.5747	36.557	36.5542	36.5493	36.5499	36.5528	36.5316	36.5547	36.5317	36.5305	36.5249	36.5394	36.5329	36.5449	36.546	36.5454	36.5257	36.5509	36.5212	36.5402	36.5293	36.5256	36.5235	36.5166	36.5513	36.5096	36.509	36.5236	36.5087	36.5195	36.5011	36.4842	36.5151	36.4779	36.4745	36.469	36.476	36.4617	36.4737	36.4659	36.4792	36.4688	36.457	36.4521	36.4398	36.4282	36.4505	36.3786	36.4317	36.4116	36.3833	36.3877	36.3698	36.3435	36.3785	36.4137	36.369	36.3887	36.3469	36.3332	36.3352	36.2918	36.2809	36.34	36.2738	36.3107	36.293	36.2866	36.304	36.2754	36.2403	36.2654	36.2455	36.2298	36.2664	36.2627	36.2675	36.3016	36.3177	36.2857	36.2666	36.2645	36.2616	36.2412	36.2043	36.3042	36.3057	36.4333	36.4139	36.3748	34.5783
ERR12384785_1	33.1466	36.4562	36.5148	36.646	36.3752	36.6097	36.6311	36.5925	36.7499	36.6593	36.7353	36.6608	36.7179	36.6659	36.6145	36.6312	36.6469	36.6617	36.6435	36.6694	36.6556	36.6276	36.654	36.6398	36.6424	36.6447	36.5951	36.6253	36.6364	36.6194	36.624	36.6092	36.6118	36.6081	36.6193	36.611	36.5866	36.6055	36.5804	36.6016	36.5969	36.6088	36.5972	36.5801	36.582	36.5956	36.5715	36.5859	36.5897	36.5869	36.5801	36.5824	36.5885	36.5599	36.5797	36.5655	36.555	36.5884	36.5568	36.5625	36.5477	36.5524	36.5525	36.5601	36.5328	36.5437	36.5188	36.5266	36.5283	36.5445	36.5246	36.5147	36.4996	36.5214	36.535	36.5081	36.4813	36.5265	36.5001	36.5076	36.4901	36.4848	36.4963	36.4818	36.4915	36.5036	36.4759	36.4877	36.4863	36.4643	36.4683	36.4649	36.4836	36.4382	36.4428	36.459	36.4632	36.4746	36.4562	36.4181	36.4448	36.4072	36.4271	36.4032	36.3971	36.3689	36.3667	36.3334	36.3736	36.3591	36.3365	36.3268	36.3337	36.2985	36.3005	36.338	36.284	36.2828	36.3024	36.2719	36.3011	36.2484	36.2385	36.2624	36.2135	36.2306	36.2256	36.2096	36.1964	36.2246	36.1657	36.2065	36.2203	36.1687	36.1979	36.1517	36.1332	36.1731	36.1501	36.1667	36.128	36.1322	36.084	36.0606	36.0369	36.0651	36.0831	36.2819	36.2752	36.2336	33.5396
ERR12384786_1	33.3402	35.8053	36.5088	36.6268	36.4122	36.542	36.5931	36.5438	36.7101	36.5897	36.6941	36.6239	36.6906	36.6429	36.5994	36.625	36.6363	36.6293	36.632	36.649	36.6146	36.6031	36.6218	36.6312	36.6285	36.6221	36.5801	36.6144	36.5919	36.5945	36.5909	36.5864	36.6077	36.5628	36.5883	36.5814	36.5868	36.5827	36.5321	36.5631	36.5509	36.5566	36.5469	36.5458	36.5496	36.5474	36.5334	36.5461	36.5418	36.5415	36.5357	36.5299	36.5486	36.5279	36.5231	36.5305	36.4979	36.5567	36.5215	36.5251	36.5341	36.5163	36.51	36.507	36.4899	36.5115	36.4817	36.5007	36.483	36.4983	36.4846	36.4831	36.474	36.4864	36.4981	36.49	36.4735	36.4924	36.4878	36.4998	36.4689	36.4657	36.4666	36.4789	36.5005	36.4833	36.4505	36.462	36.4587	36.4612	36.4559	36.4363	36.4773	36.425	36.4394	36.4048	36.4279	36.4175	36.4214	36.41	36.4359	36.4052	36.4017	36.4016	36.379	36.3646	36.3596	36.3203	36.3571	36.3437	36.327	36.336	36.3194	36.2809	36.3022	36.34	36.3253	36.3083	36.2829	36.271	36.2545	36.2385	36.22	36.2464	36.2378	36.2502	36.2306	36.241	36.2261	36.2066	36.17	36.2214	36.1913	36.1595	36.1779	36.2073	36.1967	36.219	36.2293	36.2315	36.1933	36.2015	36.2024	36.1681	36.1781	36.2081	36.2309	36.3822	36.3632	36.3284	34.5042
ERR12384787_1	33.336	35.7991	36.5968	36.6993	36.5066	36.6053	36.6604	36.6251	36.7675	36.6777	36.769	36.6995	36.7645	36.7074	36.6651	36.6917	36.7005	36.7038	36.6944	36.7076	36.688	36.6543	36.7072	36.694	36.7025	36.691	36.6517	36.6736	36.6778	36.6725	36.6722	36.6655	36.6637	36.6449	36.6742	36.6529	36.649	36.6632	36.6395	36.6583	36.6391	36.6352	36.6303	36.631	36.6178	36.6443	36.6076	36.6401	36.6268	36.6499	36.63	36.6234	36.6357	36.6286	36.6125	36.6223	36.5835	36.6358	36.6149	36.6207	36.6157	36.6131	36.5938	36.5871	36.5915	36.5968	36.587	36.6093	36.5842	36.5952	36.5924	36.5897	36.5848	36.5867	36.5935	36.5899	36.5792	36.5861	36.5841	36.5948	36.5578	36.5711	36.5735	36.5754	36.5979	36.5721	36.5721	36.5687	36.5595	36.5797	36.5511	36.5291	36.5732	36.535	36.5351	36.527	36.5407	36.5412	36.5403	36.5397	36.5366	36.5228	36.5088	36.5355	36.488	36.4731	36.4908	36.4584	36.5025	36.5034	36.4839	36.4488	36.439	36.4251	36.4203	36.4712	36.4344	36.4566	36.424	36.4096	36.3973	36.3741	36.3538	36.3874	36.3563	36.3761	36.3593	36.3958	36.355	36.3771	36.3237	36.3437	36.3352	36.3412	36.3289	36.3443	36.3472	36.3626	36.3679	36.3685	36.3447	36.3259	36.3278	36.3057	36.3023	36.35	36.3623	36.4702	36.4691	36.4488	34.6606
ERR12384788_1	33.2741	36.5017	36.5126	36.6478	36.3769	36.6172	36.6377	36.6095	36.7334	36.6591	36.737	36.6647	36.7065	36.6556	36.6078	36.6232	36.6461	36.6503	36.6479	36.6537	36.6447	36.6017	36.6488	36.6369	36.6438	36.6253	36.5882	36.6051	36.6246	36.6181	36.611	36.6046	36.606	36.5866	36.6083	36.6055	36.5897	36.6053	36.5741	36.5971	36.5801	36.5935	36.5894	36.5791	36.5678	36.5977	36.547	36.5742	36.5914	36.5906	36.5838	36.5687	36.5871	36.5471	36.5547	36.5614	36.5275	36.5791	36.5547	36.5375	36.5556	36.5527	36.5306	36.5342	36.505	36.5314	36.5207	36.5481	36.5173	36.5264	36.5107	36.4931	36.5	36.5074	36.5217	36.4989	36.4804	36.4942	36.4798	36.4941	36.4581	36.4605	36.483	36.4696	36.4885	36.4812	36.4615	36.4533	36.4636	36.4499	36.4571	36.4307	36.464	36.432	36.4441	36.4407	36.4578	36.4693	36.4498	36.4348	36.4241	36.4087	36.4173	36.3838	36.3847	36.3523	36.3449	36.3287	36.375	36.3672	36.3448	36.3237	36.3084	36.2972	36.2832	36.3137	36.2723	36.2892	36.2595	36.2718	36.2796	36.2511	36.2172	36.2401	36.203	36.2098	36.2314	36.2056	36.194	36.2096	36.1346	36.2077	36.201	36.1876	36.154	36.1568	36.1324	36.1413	36.1156	36.1471	36.1288	36.1018	36.055	36.0564	36.0343	36.0324	36.0587	36.265	36.2573	36.2244	33.4393
ERR12384789_1	33.3312	35.805	36.5632	36.6907	36.498	36.607	36.6574	36.6051	36.7659	36.6668	36.7544	36.695	36.7496	36.6964	36.6631	36.684	36.6962	36.6928	36.6938	36.7149	36.685	36.67	36.6735	36.6934	36.6961	36.6843	36.6399	36.6751	36.6599	36.6685	36.6625	36.6764	36.6619	36.6397	36.6582	36.64	36.6525	36.6534	36.6179	36.6489	36.6126	36.6167	36.6193	36.6319	36.6249	36.6252	36.6161	36.6295	36.6193	36.6198	36.6176	36.6132	36.6214	36.6089	36.6088	36.6084	36.5673	36.6222	36.5996	36.5923	36.6071	36.6014	36.5911	36.5943	36.5666	36.5806	36.5729	36.594	36.5717	36.5886	36.571	36.5711	36.5673	36.5776	36.5625	36.5864	36.5754	36.5657	36.5566	36.5829	36.5459	36.546	36.558	36.5617	36.5808	36.5544	36.5348	36.5501	36.5479	36.549	36.5372	36.5101	36.558	36.5339	36.5264	36.5107	36.5205	36.5223	36.5257	36.528	36.5147	36.5175	36.5158	36.5027	36.4837	36.4903	36.4599	36.4474	36.4502	36.4746	36.4383	36.4285	36.4105	36.3997	36.406	36.4467	36.4258	36.4207	36.3991	36.3871	36.377	36.3588	36.3255	36.3779	36.3399	36.3671	36.3508	36.3449	36.3325	36.3366	36.3224	36.3342	36.3132	36.3258	36.3167	36.3391	36.3276	36.3399	36.3548	36.3459	36.3369	36.3163	36.3108	36.291	36.2812	36.334	36.3396	36.4647	36.446	36.4189	34.5499
