Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
ERR12384777_1	33.3508	36.5393	36.5592	36.6604	36.4341	36.6271	36.652	36.6094	36.7502	36.6705	36.7408	36.6656	36.7055	36.6623	36.6243	36.6247	36.6445	36.6656	36.649	36.6697	36.6425	36.6209	36.6458	36.6505	36.6453	36.6391	36.598	36.6233	36.6357	36.6187	36.6305	36.6155	36.6113	36.599	36.6149	36.6014	36.5957	36.6111	36.5742	36.5944	36.5912	36.5946	36.5967	36.582	36.5806	36.5962	36.5809	36.5895	36.5849	36.5802	36.578	36.5693	36.5779	36.5448	36.5621	36.5614	36.5455	36.5765	36.5572	36.5367	36.5502	36.5497	36.5427	36.5474	36.5196	36.5445	36.5252	36.5355	36.5253	36.5359	36.5217	36.5072	36.5056	36.5109	36.5315	36.5086	36.4855	36.5087	36.4957	36.5012	36.4709	36.4908	36.4911	36.4665	36.4952	36.4809	36.4636	36.4648	36.4661	36.4586	36.4563	36.449	36.4571	36.4452	36.4442	36.445	36.4558	36.4639	36.4587	36.4497	36.4303	36.4222	36.4243	36.3943	36.3682	36.3653	36.3471	36.3319	36.3585	36.3591	36.3389	36.3399	36.3199	36.2952	36.279	36.3124	36.283	36.3023	36.2736	36.2845	36.292	36.2431	36.253	36.2472	36.2033	36.2175	36.2284	36.1989	36.2068	36.2153	36.1459	36.2022	36.2101	36.1889	36.1835	36.1776	36.1305	36.1607	36.1365	36.1559	36.1391	36.1225	36.1007	36.0585	36.0501	36.0502	36.085	36.2855	36.2701	36.2322	33.4671
ERR12384780_1	33.3143	36.5677	36.5771	36.6731	36.4526	36.6441	36.6609	36.6292	36.7551	36.6888	36.744	36.679	36.7215	36.6849	36.6334	36.6434	36.6588	36.6742	36.6601	36.6836	36.6508	36.6255	36.6625	36.6594	36.6603	36.6501	36.6169	36.65	36.6388	36.6295	36.6339	36.6271	36.6253	36.6131	36.6304	36.6214	36.6191	36.6163	36.5859	36.6203	36.6146	36.6308	36.5991	36.5986	36.6059	36.6132	36.5887	36.6053	36.6047	36.6154	36.6067	36.5926	36.5971	36.5745	36.5941	36.5907	36.5598	36.6034	36.5822	36.5681	36.5748	36.569	36.5577	36.5541	36.5419	36.5568	36.5556	36.5559	36.5577	36.5456	36.5476	36.5273	36.5134	36.5335	36.5506	36.5377	36.5034	36.5166	36.5176	36.5217	36.5086	36.4987	36.4983	36.4977	36.5115	36.5134	36.4939	36.5123	36.5049	36.4729	36.47	36.4542	36.5023	36.47	36.4853	36.4637	36.4908	36.4792	36.4729	36.4759	36.4597	36.4374	36.4341	36.4094	36.4268	36.4	36.379	36.3638	36.3957	36.3915	36.3862	36.3618	36.3549	36.3324	36.311	36.3482	36.2989	36.3193	36.314	36.2974	36.3107	36.2812	36.2773	36.2732	36.2267	36.247	36.2735	36.2446	36.2373	36.2612	36.1948	36.2534	36.23	36.2295	36.224	36.1982	36.1792	36.2043	36.1737	36.1832	36.1532	36.1413	36.1249	36.0957	36.0866	36.1051	36.1009	36.3088	36.2906	36.2579	33.5052
ERR12384781_1	33.5349	36.6071	36.6103	36.7145	36.5041	36.6811	36.7032	36.6706	36.7939	36.7195	36.7796	36.7209	36.7562	36.7139	36.6729	36.6912	36.6993	36.7075	36.6958	36.7152	36.6941	36.6758	36.6942	36.6989	36.7047	36.6842	36.6539	36.6826	36.6806	36.6688	36.6697	36.6715	36.6681	36.6532	36.6689	36.6617	36.6531	36.6598	36.6307	36.6524	36.6449	36.6501	36.6389	36.6497	36.6403	36.6513	36.6354	36.6406	36.6335	36.6344	36.63	36.6312	36.6395	36.6055	36.6263	36.6184	36.6089	36.6435	36.6202	36.6024	36.6066	36.6158	36.5975	36.6149	36.5916	36.5936	36.5816	36.6093	36.5876	36.5956	36.5815	36.5615	36.5668	36.5696	36.59	36.5817	36.5544	36.5676	36.5589	36.5565	36.5475	36.5647	36.5419	36.5414	36.5479	36.5505	36.5394	36.5464	36.5395	36.5319	36.5366	36.5204	36.5363	36.5044	36.5187	36.5134	36.5282	36.5311	36.5218	36.5188	36.5089	36.4954	36.5053	36.4781	36.4744	36.4424	36.4452	36.4201	36.4346	36.4255	36.4148	36.408	36.4015	36.3803	36.3683	36.3943	36.369	36.3591	36.3615	36.3785	36.3861	36.3411	36.3368	36.3206	36.3082	36.3185	36.3181	36.3002	36.2898	36.2971	36.2477	36.2821	36.2919	36.2591	36.2639	36.2495	36.2299	36.2376	36.2206	36.2361	36.2277	36.1831	36.1814	36.1485	36.1315	36.1407	36.1524	36.3466	36.3252	36.2909	33.4902
ERR12384783_1	33.3872	36.5938	36.5914	36.6823	36.4738	36.6475	36.6685	36.6331	36.7639	36.6887	36.7583	36.6828	36.7363	36.6779	36.6398	36.6535	36.6597	36.6788	36.6605	36.6702	36.6594	36.6271	36.67	36.6617	36.6564	36.663	36.6068	36.6477	36.6476	36.6254	36.6389	36.6232	36.6289	36.6146	36.6284	36.6184	36.609	36.6325	36.5972	36.6221	36.6204	36.6195	36.6095	36.6125	36.601	36.6249	36.5841	36.595	36.6064	36.6051	36.5993	36.5878	36.612	36.5678	36.5819	36.5857	36.5641	36.5966	36.5732	36.5593	36.572	36.5681	36.5582	36.5621	36.5292	36.5585	36.5432	36.5645	36.5473	36.5488	36.5367	36.5152	36.5218	36.5251	36.5287	36.538	36.5071	36.5124	36.5049	36.516	36.5142	36.4873	36.4989	36.51	36.5161	36.5214	36.4825	36.4793	36.4846	36.4803	36.4712	36.4756	36.4833	36.4631	36.4696	36.4527	36.5	36.4783	36.4848	36.4572	36.4702	36.4362	36.4502	36.4184	36.4055	36.3907	36.3697	36.3647	36.4124	36.4025	36.3782	36.3526	36.3425	36.3368	36.3136	36.3546	36.3082	36.3238	36.29	36.3046	36.3235	36.2827	36.2733	36.2636	36.2307	36.235	36.2527	36.2531	36.2344	36.2572	36.1652	36.2321	36.2327	36.2053	36.2	36.1788	36.1728	36.1844	36.1682	36.1719	36.149	36.1183	36.1345	36.0865	36.0569	36.0686	36.0934	36.2933	36.2886	36.2531	33.4581
ERR12384784_1	33.3673	35.7936	36.5479	36.6753	36.4757	36.594	36.6404	36.5919	36.7496	36.6355	36.7256	36.6607	36.7335	36.6845	36.6268	36.6531	36.668	36.6723	36.6687	36.6922	36.6718	36.6469	36.6588	36.6672	36.6654	36.662	36.623	36.6417	36.6303	36.6388	36.6305	36.6296	36.6432	36.6156	36.6413	36.6082	36.6317	36.6207	36.5727	36.6088	36.6079	36.5839	36.6006	36.5988	36.5807	36.5845	36.5961	36.5952	36.5943	36.5711	36.5856	36.5786	36.5958	36.5756	36.5655	36.5644	36.539	36.5974	36.5772	36.5575	36.5763	36.5612	36.554	36.5536	36.5539	36.5563	36.5381	36.5584	36.5312	36.5334	36.5237	36.5372	36.5382	36.5434	36.5509	36.5449	36.527	36.5511	36.5215	36.5435	36.5229	36.5284	36.5198	36.5126	36.5477	36.5087	36.5073	36.5237	36.5061	36.5181	36.4997	36.4801	36.5108	36.4725	36.4671	36.4662	36.4733	36.4578	36.4732	36.4655	36.4783	36.4686	36.4562	36.4513	36.439	36.428	36.4504	36.3784	36.4318	36.4114	36.3828	36.3877	36.3695	36.343	36.3783	36.4137	36.3687	36.3885	36.3463	36.3326	36.3343	36.291	36.2795	36.3391	36.2732	36.3105	36.2926	36.2862	36.3035	36.2753	36.2397	36.2645	36.2446	36.2295	36.2651	36.2617	36.2674	36.301	36.3163	36.2847	36.2658	36.2625	36.26	36.239	36.2024	36.3027	36.3047	36.4328	36.4139	36.3748	34.5784
ERR12384785_1	33.1574	36.4794	36.5242	36.6435	36.3931	36.6164	36.6279	36.5914	36.7548	36.6638	36.7363	36.666	36.7149	36.6631	36.6139	36.6342	36.6501	36.6737	36.6451	36.6664	36.6546	36.6316	36.657	36.6425	36.6497	36.6443	36.5995	36.6287	36.6374	36.6195	36.6204	36.6129	36.6126	36.6089	36.6206	36.6164	36.5943	36.6071	36.5838	36.6031	36.5993	36.6048	36.5936	36.5802	36.586	36.6007	36.5733	36.5854	36.5865	36.582	36.5807	36.5821	36.5857	36.5513	36.572	36.5655	36.5576	36.5889	36.5528	36.551	36.5392	36.5421	36.5512	36.5552	36.5298	36.5395	36.5188	36.5338	36.5275	36.542	36.5178	36.5098	36.5005	36.5177	36.5326	36.5081	36.4855	36.5164	36.4967	36.5071	36.486	36.4802	36.4904	36.472	36.485	36.5007	36.4683	36.4848	36.4774	36.4633	36.464	36.4616	36.4734	36.4331	36.4317	36.449	36.4573	36.4698	36.4557	36.4176	36.4443	36.4059	36.4264	36.4024	36.3961	36.3686	36.3663	36.3331	36.3732	36.3585	36.3359	36.3261	36.3333	36.2977	36.3004	36.3372	36.2832	36.2825	36.3017	36.2713	36.3002	36.2476	36.2378	36.2621	36.2131	36.23	36.2249	36.2085	36.1955	36.2241	36.1648	36.2063	36.2201	36.1682	36.1967	36.1512	36.1329	36.1721	36.1493	36.1657	36.1266	36.13	36.0816	36.0587	36.0342	36.064	36.0828	36.2811	36.2752	36.2336	33.5396
ERR12384786_1	33.351	35.7925	36.5209	36.6352	36.4366	36.5507	36.6031	36.5515	36.7138	36.5997	36.6996	36.6322	36.6966	36.6499	36.6077	36.6314	36.6412	36.6364	36.6399	36.6545	36.6259	36.6083	36.6277	36.6364	36.6362	36.6284	36.5893	36.6199	36.5995	36.6024	36.5996	36.5954	36.6152	36.5721	36.6018	36.5868	36.5929	36.5858	36.5426	36.5735	36.561	36.562	36.5534	36.5585	36.5619	36.5557	36.5426	36.5577	36.5506	36.5441	36.5383	36.5334	36.5503	36.5327	36.5303	36.5366	36.5083	36.5635	36.5293	36.5281	36.5409	36.5206	36.5135	36.5097	36.4986	36.516	36.4901	36.5046	36.4903	36.5064	36.4872	36.4892	36.4775	36.49	36.5016	36.4944	36.4805	36.4943	36.4907	36.5034	36.4685	36.4641	36.4668	36.4775	36.498	36.4836	36.4533	36.4673	36.4586	36.4621	36.4578	36.4339	36.4771	36.4201	36.4336	36.4022	36.4257	36.415	36.421	36.4095	36.4354	36.4043	36.4009	36.401	36.3784	36.3644	36.3587	36.3198	36.3563	36.3431	36.3266	36.3357	36.3187	36.2804	36.302	36.3398	36.325	36.308	36.2822	36.2702	36.2536	36.2379	36.2194	36.2461	36.2371	36.2494	36.2298	36.2401	36.226	36.2063	36.1694	36.2208	36.19	36.1584	36.1771	36.2061	36.1955	36.218	36.2278	36.2305	36.1917	36.1999	36.2002	36.1656	36.1763	36.2067	36.2304	36.3821	36.363	36.3284	34.5042
ERR12384787_1	33.3427	35.7611	36.5877	36.7018	36.5257	36.6172	36.6669	36.6355	36.7753	36.6877	36.7739	36.7062	36.7679	36.7158	36.6754	36.7009	36.702	36.7102	36.7006	36.7139	36.6941	36.6654	36.7077	36.6996	36.7077	36.6944	36.6599	36.6807	36.6813	36.6716	36.6754	36.6685	36.6724	36.6493	36.6773	36.6566	36.6611	36.6686	36.6451	36.6631	36.6386	36.6403	36.6339	36.6361	36.6234	36.648	36.6133	36.6436	36.626	36.6414	36.6339	36.6239	36.6325	36.6269	36.6167	36.6276	36.5883	36.6317	36.6118	36.6121	36.6141	36.6082	36.5928	36.5875	36.5941	36.5945	36.5877	36.6058	36.5842	36.5959	36.5892	36.5876	36.5833	36.5866	36.5917	36.5876	36.5769	36.5829	36.5852	36.5935	36.5574	36.5703	36.5658	36.5688	36.5946	36.567	36.5664	36.5677	36.5591	36.5731	36.5469	36.5241	36.5695	36.5289	36.529	36.5197	36.536	36.5381	36.5395	36.5386	36.5361	36.5224	36.5083	36.5354	36.4872	36.4727	36.4904	36.4578	36.5023	36.503	36.4838	36.4485	36.439	36.4247	36.4201	36.4709	36.4342	36.4563	36.4237	36.4091	36.3968	36.3737	36.3535	36.3868	36.3559	36.3757	36.359	36.3953	36.354	36.3766	36.3233	36.3433	36.3348	36.3402	36.328	36.3436	36.3461	36.3613	36.367	36.3675	36.3438	36.3256	36.3271	36.3049	36.3014	36.3491	36.3621	36.47	36.4691	36.4488	34.6606
ERR12384788_1	33.2777	36.5118	36.5213	36.6515	36.3914	36.6216	36.6387	36.607	36.7336	36.6611	36.7353	36.6637	36.7061	36.6531	36.6094	36.6241	36.6441	36.6547	36.6492	36.6517	36.6449	36.6025	36.6452	36.6331	36.6445	36.624	36.5934	36.6103	36.6219	36.6106	36.6125	36.6038	36.6078	36.5876	36.6054	36.6002	36.5902	36.6023	36.5737	36.5949	36.5831	36.5907	36.5838	36.5794	36.5661	36.593	36.5512	36.5759	36.5835	36.5834	36.5762	36.5653	36.582	36.5433	36.548	36.5583	36.5242	36.575	36.5474	36.5307	36.549	36.5437	36.5255	36.5284	36.4998	36.5282	36.5173	36.5436	36.5127	36.5247	36.5064	36.4888	36.4993	36.5079	36.5173	36.4941	36.4767	36.4869	36.4737	36.4888	36.4548	36.4581	36.4744	36.4621	36.4799	36.4779	36.4549	36.4497	36.4602	36.443	36.4519	36.4275	36.4581	36.4267	36.4358	36.4334	36.4528	36.4642	36.4482	36.4341	36.4233	36.4081	36.4166	36.383	36.3839	36.3514	36.3445	36.3279	36.374	36.3666	36.3446	36.3233	36.3076	36.2961	36.2823	36.3126	36.2717	36.2889	36.2591	36.2709	36.2788	36.2505	36.2158	36.2396	36.2021	36.2086	36.2307	36.2048	36.1934	36.2093	36.1344	36.2073	36.2004	36.1868	36.1531	36.1556	36.1307	36.1406	36.1144	36.1454	36.1275	36.1003	36.0528	36.0524	36.0312	36.0302	36.0582	36.265	36.2573	36.2244	33.4394
ERR12384789_1	33.3338	35.7618	36.5556	36.6931	36.5162	36.6169	36.6603	36.6169	36.7689	36.6739	36.7619	36.7015	36.755	36.7056	36.6718	36.6921	36.698	36.6995	36.6992	36.716	36.6906	36.6765	36.6805	36.6997	36.7012	36.6879	36.6507	36.6835	36.6676	36.672	36.6704	36.6786	36.6681	36.6451	36.6658	36.6421	36.6557	36.6575	36.6233	36.6523	36.6214	36.6253	36.626	36.6337	36.6304	36.6328	36.6191	36.6342	36.6291	36.621	36.6236	36.6186	36.6266	36.6154	36.6145	36.6211	36.5755	36.6243	36.6004	36.5975	36.6117	36.6052	36.5967	36.6024	36.578	36.5881	36.5815	36.598	36.5742	36.5945	36.5752	36.5734	36.5733	36.5781	36.5715	36.5912	36.5795	36.5731	36.566	36.5888	36.5517	36.5518	36.5624	36.5655	36.5822	36.5601	36.5373	36.5549	36.553	36.5541	36.5399	36.513	36.5589	36.5355	36.5277	36.5114	36.5186	36.5231	36.5259	36.5275	36.5144	36.5167	36.5155	36.5026	36.4836	36.49	36.4597	36.4472	36.45	36.4744	36.4381	36.4282	36.41	36.3993	36.4055	36.4461	36.4254	36.4204	36.399	36.3868	36.3768	36.3584	36.3248	36.3773	36.3399	36.3667	36.3506	36.3448	36.3321	36.3358	36.3218	36.3334	36.3126	36.3252	36.3167	36.3391	36.3275	36.3395	36.3541	36.3456	36.3362	36.3148	36.3095	36.2894	36.28	36.3334	36.3397	36.4647	36.446	36.4189	34.5499
